Date,Item,Amount
2026-01-14,Princess,50
2026-01-14,Litter Sand,50
2026-01-14,Toci,100
2026-01-14,Aozi Dog,50
2026-01-14,Zoi,100
2026-01-14,Litter Sand,100
2026-01-14,Aozi Cat,340
2026-01-14,Aozi Power Cat,230
2026-01-14,Aozi Kitten,200
2026-01-14,Wifi,800
2026-01-14,Accessories,300
2026-01-15,Water,30
2026-01-17,Pee Pad,40
2026-01-17,Pedigree,182
2026-01-17,Aozi Dog,100
2026-01-17,Power Cat,50
2026-01-17,Aozi,170
2026-01-17,Aozi Kitten,115
2026-01-17,Aozi Can,95
2026-01-17,Litter Sand,150
2026-01-17,Fish Net,65
2026-01-17,Beef Teriyaki,60
2026-01-17,Toci,60
2026-01-17,Aozi Dog,50
2026-01-17,Top Breed P,120
2026-01-17,Goats Milk,195
2026-01-17,Aozi Cat,100
2026-01-17,Expense (Expen),875
2026-01-17,Doxy,230
2026-01-18,Total Sales (Combined),5120
2026-01-19,Dog Toys,100
2026-01-19,Aozi Dog,195
2026-01-19,Zoi Cat,75
2026-01-19,Whiskas,100
2026-01-19,Zoi Cat,100
2026-01-19,Litter Sand,150
2026-01-19,Aozi Cat,150
2026-01-19,Power Cat,50
2026-01-19,Aozi Cat,115
2026-01-19,Special Cat,230
2026-01-19,Toci,300
2026-01-19,Top Breed,100
2026-01-19,Good Boy,100
2026-01-19,Whiskas Kitten,150
2026-01-19,Respet Care,250
2026-01-19,Top Breed,50
2026-01-19,Smart Heart,100
2026-01-19,Sausage,50
2026-01-19,Aozi Dog,50
2026-01-19,Zoi Cat,150
2026-01-19,Lucy (Payment/Loan),280
2026-01-20,Toci,75
2026-01-20,Scooper,65
2026-01-20,Power Cat,130
2026-01-20,Pedigree Mini,50
2026-01-20,Eye Guard,230
2026-01-20,Aozi Dog,200
2026-01-20,Pedigree,165
2026-01-20,Phonex,211
2026-01-20,Top Breed,100
2026-01-20,Dextrose,65
2026-01-20,Wet Food,50
2026-01-20,Zoi,75
2026-01-20,Zoi Cat,100
2026-01-20,Aozi Dog,200
2026-01-20,Zoi Cat,75
2026-01-20,Wet Food,100
2026-01-20,Cuties,40
2026-01-20,Lucy,150
2026-01-20,Zoi,40
2026-01-20,Diaper,120
2026-01-20,Yum Yum,20
2026-01-20,Cuties,80
2026-01-20,Ciao Ciao,50
2026-01-20,Phonex,24
2026-01-20,Top Breed,100
2026-01-20,Zoi,100
2026-01-20,Lucy,140
2026-01-20,Yum Yum,100
2026-01-20,Aozi Cat,150
2026-01-20,Litter Sand,150
2026-01-22,Litter Sand,150
2026-01-22,Soap,120
2026-01-22,Aozi Cat,75
2026-01-22,Power Cat,150
2026-01-22,Litter Sand,50
2026-01-22,Scooper,150
2026-01-22,Litter Sand,400
2026-01-22,Aozi Dog,400
2026-01-22,Aozi Cat,230
2026-01-22,Wet Food,50
2026-01-22,Special Cat,100
2026-01-22,Collar,280
2026-01-22,Pina,250
2026-01-22,Wet Food,50
2026-01-22,Aozi Kitten,50
2026-01-22,Litter Sand,170
2026-01-22,Dentastick,200
2026-01-22,Toci,50
2026-01-22,Parcel Fee,260
2026-01-23,Litter Sand,100
2026-01-23,Collar,75
2026-01-23,Bowl,100
2026-01-23,Zoi Cat,100
2026-01-23,Beef Teriyaki,100
2026-01-23,Top Breed,100
2026-01-23,Special Cat,440
2026-01-23,Enertone,40
2026-01-23,Sausage,50
2026-01-23,Aozi Dog,100
2026-01-23,Special Cat,150
2026-01-23,Whiskas,100
2026-01-23,Top Breed,100
2026-01-23,Zoi Cat,100
2026-01-23,Toci,50
2026-01-23,Armour,750
2026-01-23,Litter Sand,200
2026-01-23,Top Breed,100
2026-01-23,Top Breed,100
2026-01-23,Beef Teriyaki,200
2026-01-23,Top Breed,110
2026-01-23,Top Breed,100
2026-01-23,Aozi Cat,100
2026-01-23,Litter Sand,150
2026-01-24,Good Dog,450
2026-01-24,Goats Milk,100
2026-01-24,Special Dog,100
2026-01-24,Special Cat,50
2026-01-24,Power Cat,150
2026-01-24,Special Cat,100
2026-01-24,Litter Sand,170
2026-01-24,Aozi Cat,50
2026-01-24,Top Breed,100
2026-01-24,Kitten Food,100
2026-01-24,Whiskas Kitten,150
2026-01-24,Aozi Cat,150
2026-01-24,Special Cat,230
2026-01-24,Cologne,298
2026-01-24,Cuties,150
2026-01-24,Zoi Cat,100
2026-01-24,Vitality,250
2026-01-24,Collar,75
2026-01-24,Return Item,-1850
2026-01-25,Wet Food,50
2026-01-25,Top Breed,150
2026-01-25,Yum Yum,50
2026-01-25,Wet Food,100
2026-01-25,Whiskas,100
2026-01-25,Aozi Cat,100
2026-01-25,Zoi Cat,50
2026-01-25,Litter Sand,170
2026-01-25,Wet Food,75
2026-01-25,Aozi Puppy,100
2026-01-25,Aozi Dog Adult,195
2026-01-26,Top Breed A,100
2026-01-26,Special Cat,100
2026-01-26,Whiskas,100
2026-01-26,Special Dog,100
2026-01-26,Aozi Cat,100
2026-01-26,Aozi Can,190
2026-01-26,Aozi Dog,400
2026-01-26,Biscuit,95
2026-01-27,Infinity,300
2026-01-27,Toci,75
2026-01-27,Aozi Cat,100
2026-01-27,Zoi Cat,100
2026-01-27,Wipes,200
2026-01-27,Cat Toy Stick,80
2026-01-27,Aozi Cat,230
2026-01-27,Toci,1000
2026-01-27,Aozi Dog,97
2026-01-27,Yum Yum,100
2026-01-27,Tuna Steak,100
2026-01-27,Special Dog,100
2026-01-27,Special Cat,100
2026-01-27,Pedigree,100
2026-01-27,Aozi Cat,100
2026-01-27,Pee Pad,150
2026-01-27,Toci,100
2026-01-27,Litter Sand,400
2026-01-27,Ballpen,75
2026-01-28,Power Cat,260
2026-01-28,Smart Heart,50
2026-01-28,Total Sales (Combined),7420
2026-01-30,Aozi Can Cat,190
2026-01-30,Zoi Cat,100
2026-01-30,Aozi Dog Puppy,100
2026-01-30,Aozi Dog Adult,100
2026-01-30,Pee Pad,95
2026-01-30,Zoi Cat,150
2026-01-30,Aozi Cat,460
2026-01-31,Aozi,230
2026-01-31,Toci,100
2026-01-31,Zoi Cat,100
2026-01-31,Aozi Dog,100
2026-01-31,Wet Food,100
2026-01-31,Tuna Steak,50
2026-01-31,Special Cat,50
2026-01-31,Power Cat,50
2026-01-31,Special Dog,150
2026-01-31,Aozi Cat,120
2026-01-31,Sawdust,220
2026-01-31,Cat Toy,100
2026-01-31,Litter Sand,300
2026-01-31,Top Breed,100
2026-01-31,Aozi Cat,75
2026-01-31,Toci,100
2026-01-31,Cuties,100
2026-01-31,Good Boy,100
2026-01-31,Kitten Food,100
2026-01-31,Whiskas,100
2026-01-31,Whiskas Kitten,50
2026-01-31,Goats Milk,100
2026-01-31,Yum Yum,150
2026-01-31,Special Cat,100
2026-01-31,Litter Sand,150
2026-02-01,Litter Sand,350
2026-02-01,Aozi Can,95
2026-02-01,Pedigree Mini,50
2026-02-01,Wet Food,50
2026-02-01,Top Breed A,200
2026-02-01,Dental Stick,150
2026-02-01,Puppies Biscuit,95
2026-02-01,Top Breed,100
2026-02-01,Aozi Kitten,230
2026-02-01,Litter Sand,380
2026-02-01,Aozi,50
2026-02-01,Whiskas A,200
2026-02-01,Royal P,220
2026-02-01,Aozi Dog,200
2026-02-01,Smart Heart,40
2026-02-01,Pedigree,50
2026-02-02,Beef Teriyaki,100
2026-02-02,Pedigree Mini,165
2026-02-02,Top Breed A,200
2026-02-02,Smart Heart,100
2026-02-02,Whiskas,100
2026-02-02,Tuna Steak,100
2026-02-03,Toci,75
2026-02-03,Dextrose Powder,65
2026-02-03,Cage,1200
2026-02-03,LC Vit,150
2026-02-03,Doggy Biscuit,95
2026-02-03,Syringe,10
2026-02-03,Litter Sand,150
2026-02-03,Aozi Can,150
2026-02-03,Diaper,150
2026-02-03,Power Cat,50
2026-02-03,Tina Steak,50
2026-02-03,Chew Snack,50
2026-02-03,Toci,150
2026-02-03,Aozi Dog,150
2026-02-03,Litter Sand,100
2026-02-03,Aozi Can,100
2026-02-03,Power Cat,300
2026-02-03,Aozi Dog,150
2026-02-03,Bearing Soap,100
2026-02-03,Smart Heart,150
2026-02-04,Aozi Cat Tuna,130
2026-02-04,Aozi Salmon,150
2026-02-04,Pet Yum,100
2026-02-04,Aozi,180
2026-02-04,Top Breed,200
2026-02-04,Special Dog,12
2026-02-04,Vitality,212
2026-02-04,Toci,105
2026-02-04,Pedigree,400
2026-02-04,Aozi Can,170
2026-02-04,Litter Sand,100
2026-02-04,Top Breed,75
2026-02-04,Aozi Cat,300
2026-02-04,Mixed Snack,100
2026-02-04,Toci,150
2026-02-04,Aozi,150
2026-02-04,Top Breed,150
2026-02-04,Aozi Dog,100
2026-02-04,Aozi Cat,100
2026-02-04,Power Cat,100
2026-02-04,Aozi Cat,200
2026-02-04,Whiskas,100
2026-02-04,Wet Food,175
2026-02-04,Aozi,390
2026-02-04,Aozi Kitten,230
2026-02-04,Tina Steak,100
2026-02-04,Good Boy,100
2026-02-04,Aozi Puppy,200
2026-02-04,Top Breed,100
2026-02-04,Wet Food,75
2026-02-04,Toci,230
2026-02-04,Litter Sand,150
2026-02-04,Litter Sand,300
2026-02-04,Royal Canin,95
2026-02-04,Tuna Steak,115
2026-02-04,Pedigree,80
2026-02-05,Deep,100
2026-02-05,Lipstick,150
2026-02-05,Cuties,100
2026-02-05,Cuties,50
2026-02-05,Aozi Cat,50
2026-02-05,Aozi Cat,50
2026-02-05,Yum Yum,200
2026-02-05,Toci,100
2026-02-05,Aozi Cat,1150
2026-02-05,Pavement Mix,260
2026-02-06,Total Sales (Combined),6059
2026-02-07,African,85
2026-02-07,Smart Heart,100
2026-02-07,Litter Sand,150
2026-02-07,Dextrose,100
2026-02-07,Zoi Dog,95
2026-02-07,Litter Sand,300
2026-02-07,Princess,150
2026-02-07,Beef Teriyaki,100
2026-02-07,Pedigree,30
2026-02-07,Dextrose,50
2026-02-07,Aozi Cat,50
2026-02-07,Diaper,50
2026-02-07,Diaper,120
2026-02-07,Vitality,100
2026-02-07,Special Dog,100
2026-02-07,Aozi Dog,150
2026-02-07,Litter Sand,40
2026-02-07,Toci,35
2026-02-07,Wet Food,165
2026-02-08,Puppy/Kitten Food,300
2026-02-08,Top Breed,100
2026-02-08,Litter Sand,150
2026-02-08,Parcel Small,150
2026-02-08,Aozi Dog Puppy,390
2026-02-08,Pedigree Wet,150
2026-02-08,Yum Yum,60
2026-02-08,Wet Food,70
2026-02-08,Aozi Puppy,150
2026-02-08,Wet Food,70
2026-02-08,Aozi Kitten,230
2026-02-08,Vitality,220
2026-02-09,Wet Food,100
2026-02-09,Me-O,150
2026-02-09,Litter Sand,400
2026-02-09,Zoi,150
2026-02-09,Cuties,75
2026-02-09,Pedigree,140
2026-02-09,Cuties,50
2026-02-09,Zoi Cat,1000
2026-02-09,Aozi Dog,200
2026-02-09,Cage,150
2026-02-09,Pedigree,100
2026-02-09,Prince (Payment),100
2026-02-10,Cage,5500
2026-02-10,Cat Toy,350
2026-02-10,Litter Sand,400
2026-02-10,Zoi Cat,150
2026-02-10,Aozi Dog,1500
2026-02-10,Vitality,375
2026-02-10,Bones,75
2026-02-10,Me-O,300
2026-02-10,Beef Teriyaki,200
2026-02-10,Wet Food,150
2026-02-10,Litter Sand,150
2026-02-10,Aozi Cat,150
2026-02-10,Power Cat,150
2026-02-10,Special Cat,150
2026-02-10,Princess,150
2026-02-10,Carrier,400
2026-02-10,Aozi Cat,200
2026-02-10,Special Cat,150
2026-02-10,Whiskas,300
2026-02-10,Zoi Cat,50
2026-02-10,Whiskas Kitten,100
2026-02-10,Cuties,50
2026-02-10,Pedigree,390
2026-02-10,Top Breed A,400
2026-02-10,Bones,60
2026-02-10,Aozi Dog,1200
2026-02-10,Princess,180
2026-02-10,Litter Sand,100
2026-02-11,Power Cat (Sausage),100
2026-02-11,Zoi,150
2026-02-11,Beef Teriyaki,100
2026-02-11,Aozi Kitten,250
2026-02-11,Aozi Dog,200
2026-02-11,Pedigree,195
2026-02-11,Cat Food,150
2026-02-11,Power Cat,100
2026-02-11,Litter Sand,100
2026-02-11,Zoi Cat,100
2026-02-11,Aozi Cat,975
2026-02-11,Prince (Payment),50
2026-02-12,Zoi,75
2026-02-12,Wet Food Can,120
2026-02-12,Fish Food,130
2026-02-12,Litter Sand,400
2026-02-12,Zoi,150
2026-02-12,Whiskas,500
2026-02-12,Water,204
2026-02-13,Litter Sand,150
2026-02-13,Vitality,245
2026-02-13,Cuties,100
2026-02-13,Cat Toy Stick,80
2026-02-13,Catnip,150
2026-02-13,Zoi Cat,80
2026-02-13,Aozi Cat,90
2026-02-13,Aozi 2f,150
2026-02-13,Zoi Cat,100
2026-02-13,Wet Food,100
2026-02-13,Toci,75
2026-02-13,Yum Yum,200
2026-02-13,Toci,100
2026-02-13,Cuties,160
2026-02-13,Whiskas,200
2026-02-13,Puppy Love,375
2026-02-13,Diaper,300
2026-02-13,Shampoo,450
2026-02-13,Zoi Cat,150
2026-02-13,Beef Teriyaki,50
2026-02-13,Toci,75
2026-02-13,Diaper,200
2026-02-13,Toci,100
2026-02-13,Aozi,100
2026-02-13,Pedigree Wet,50
2026-02-13,Aozi,65
2026-02-13,Pedigree,50
2026-02-13,Aozi,100
2026-02-13,Litter Sand,100
2026-02-13,Wet Food,50
2026-02-13,Aozi Cat,100
2026-02-13,Pedigree,165
2026-02-14,Toci,50
2026-02-14,Pedigree Mini,100
2026-02-14,Pee Pad,90
2026-02-14,Dental Light,150
2026-02-14,Smart Heart,50
2026-02-14,Tuna Steak,50
2026-02-14,Litter Sand,150
2026-02-14,Aozi,100
2026-02-14,Water,30
2026-02-14,Aozi Cat,100
2026-02-14,Yum Yum,55
2026-02-14,Cologne,250
2026-02-14,Beef Pro,250
2026-02-14,Wet Food,100
2026-02-14,Pee Pad,30
2026-02-14,Aozi,50
2026-02-14,Top Breed,100
2026-02-14,Whiskas,50
2026-02-14,Aozi Dog,100
2026-02-14,Pedigree,195
2026-02-14,Aozi,400
2026-02-14,Toci,100
2026-02-14,Toci,100
2026-02-14,Aozi Kitten,100
2026-02-14,Feeding Bottle,110
2026-02-14,Aozi Cat,100
2026-02-14,Deep (Payment),3500
2026-02-14,Danny (Payment),1500
2026-02-15,Scratcher,195
2026-02-15,LC Vit,195
2026-02-15,Aozi Dog,195
2026-02-15,Goats Milk,195
2026-02-15,Toci,50
2026-02-15,Cuties,50
2026-02-15,Whiskas,100
2026-02-15,Toci,50
2026-02-15,Beef Pro,300
2026-02-15,Good Boy,100
2026-02-15,Lalamove (Fee),169
2026-02-17,Aozi Can,95
2026-02-17,Top Breed,55
2026-02-17,Aozi Dog,150
2026-02-17,Aozi Dog,200
2026-02-17,Aozi Dog,50
2026-02-17,Aozi Can,95
2026-02-17,Wet Food,105
2026-02-18,Aozi Can,120
2026-02-18,Litter Sand,150
2026-02-18,Bowl,150
2026-02-18,Toci,75
2026-02-18,Aozi Dog,100
2026-02-18,Scooper,65
2026-02-18,Shampoo,250
2026-02-18,Aozi Dog,195
2026-02-18,Dental Stick,150
2026-02-18,Wet Food,100
2026-02-18,Pedigree Adult,255
2026-02-18,Pedigree Mini,200
2026-02-18,LC Vit,150
2026-02-18,Locil,100
2026-02-18,Aozi Kitten,50
2026-02-18,Far Guard,250
2026-02-18,Hemobicide,250
2026-02-18,Zoi Cat,300
2026-02-18,Infinity,300
2026-02-18,Dental Stick,450
2026-02-18,Beef Biscuit,200
2026-02-18,Jerky,130
2026-02-18,Poop Bag,35
2026-02-19,Pedigree P,50
2026-02-19,Toci,75
2026-02-19,Zoi Cat,75
2026-02-19,Prince (Payment),100
2026-02-21,Zoi Cat,130
2026-02-21,Infinity,75
2026-02-21,Zoi Cat,95
2026-02-21,Mondee,200
2026-02-21,Zoi Cat,75
2026-02-21,Aozi Dog,30
2026-02-21,Aozi Can,95
2026-02-21,Aozi Cat,100
2026-02-21,Top Breed,100
2026-02-21,Toci,100
2026-02-21,Litter Sand,300
2026-02-21,Ciao Ciao,100
2026-02-21,Sausage,50
2026-02-21,Cat Toy Stick,60
2026-02-21,Top Breed A,100
2026-02-21,Wet Food,50
2026-02-21,Wet Food Bag,30
2026-02-21,Princess,170
2026-02-21,Dextrose,110
2026-02-21,Wet Food,140
2026-02-21,Wet Food,35
2026-02-22,Aozi Cat,100
2026-02-22,Power Cat,50
2026-02-22,Aozi Dog P,100
2026-02-22,Vitality,100
2026-02-22,Litter Sand,150
2026-02-22,Zoi Cat,100
2026-02-22,Special Dog,150
2026-02-22,Pee Pad,40
2026-02-22,Zoi Cat,75
2026-02-22,Litter Sand,100
2026-02-22,Litter Sand,100
2026-02-22,Litter Sand,150
2026-02-22,Aozi Kitten,230
2026-02-22,Whiskas,100
2026-02-22,Sausage,50
2026-02-22,Tuna Tuna,40
2026-02-22,Sausage,40
2026-02-22,Wet Food,200
2026-02-22,Parcel Fee,497
2026-02-22,Lalamove (Fee),152
2026-02-23,Wet Food,100
2026-02-23,Zoi Dog,100
2026-02-23,Power Cat,130
2026-02-23,Monello,100
2026-02-23,Poop Bag,150
2026-02-23,Wet Food,70
2026-02-23,Zoi,100
2026-02-23,Aozi,75
2026-02-23,Bones,245
2026-02-23,Princess,65
2026-02-23,Bones,45
2026-02-23,Wet Food,50
2026-02-23,Cuties,35
2026-02-23,Wet Food,95
2026-02-23,Aozi Can,100
2026-02-23,Tuna Tuna,30
2026-02-23,Deep (Payment),70
2026-02-23,Wet Food,100
2026-02-23,Top Breed,100
2026-02-23,Special Cat,50
2026-02-23,Top Breed,50
2026-02-23,Goats Milk,195
2026-02-23,Litter Sand,50
2026-02-23,Dog Toys,150
2026-02-24,Special Cat,100
2026-02-25,Aozi Can,195
2026-02-25,Ciao,100
2026-02-25,Sausage,20
2026-02-25,Doxycycline,250
2026-02-25,Zoi Cat,100
2026-02-25,Aozi,100
2026-02-25,Aozi Dog,300
2026-02-25,Aozi,100
2026-02-25,Power Cat,260
2026-02-25,Litter Sand,584
2026-02-25,Beef Teriyaki,36
2026-02-25,Bones,100
2026-02-25,Power Cat,150
2026-02-25,Aozi Can,100
2026-02-25,Aozi Can,30
2026-02-25,Toci,70
2026-02-25,Wet Food,150
2026-02-25,Litter Sand,2290
2026-02-26,Smart Heart,460
2026-02-26,Beef Food,95
2026-02-26,Toci,160
2026-02-26,Beef Teriyaki,100
2026-02-26,Cuties,100
2026-02-26,Aozi Food,50
2026-02-26,Aozi,100
2026-02-26,Aozi Cat,200
2026-02-26,Dental Stick,150
2026-02-26,Toci,3105
2026-02-27,Total Sales (Combined),8809
2026-02-28,Aozi,970
2026-02-28,Puppy Milk,195
2026-02-28,Aozi Cat,100
2026-02-28,Aozi Dog,100
2026-02-28,Aozi Cat,100
2026-02-28,Total Sales (Combined),9050
